Tweet	subtask_a	subtask_b	subtask_c
This is Dubai's like Michael 's phone went pudica.	Offensive	UNT	NULL
In fact, never was perceived to be thrown. Everything is moving toward stardom and the money helped. Once put vital ...	Offensive	TIN	IND
Bhosadi I am your mother's husband. Look at your mother's ass. Up to kill and die Ass ...	Offensive	TIN	IND
If you ask a dog? And the smoke is drawn through the rubbing of the goats alone what to do kanganane alarm c ...	Offensive	TIN	IND
Where's Ram Kadam went to talk to the BJP and not the behavior was mutale contain your mouth?	Offensive	TIN	GRP
By LI LI Chu Gurav widow in her jhavadi pulaka man ...	Offensive	TIN	IND
This is the law of your God and the Shiv Sena chi ... your mother is the mother of another widow ... 🤬🤬	Offensive	TIN	GRP
Read asses. And I tell you, Madam, and the covenant pappune what the Chinese Commune in 2008 ...	Offensive	TIN	GRP
These are dalabhadri want to teach them common sense. Yes min has complaint. One account, you report him akaum ...	Offensive	UNT	NULL
Oh bhadavya caste kidya ...	Offensive	TIN	IND
Nothing much heavy-handed logic lavateta. gdp of dala	Offensive	UNT	NULL
She opened the mouth of his nose began to push.	Offensive	UNT	NULL
The break arrived arrived arrived ukhaduna	Offensive	UNT	NULL
At that time it was built Uddhav to smoke a marijuana? Look, if this is the bottom itching to go in Kurla and Ideas ...	Offensive	TIN	IND
Devotees are blind. The fool does not understand.	Offensive	TIN	GRP
1 year Chhatrapati Shivaji Maharaj 9 of 66 world-class king's name (brand), who founded the Shiv Sena using ...	Offensive	TIN	GRP
Nice thread composed ahepana need to clarify what is the heavy-handed people? Anyhow phadanavisam ...	Offensive	UNT	NULL
Bhikaracota mhratarya is your layakita. Staying in Pune are you talking about much.	Offensive	TIN	IND
Statement of the saints born in Jhansi Jhansi Rani Kangana ranavata should be about the modern view shame dalabhadri bindoka you pay ...	Offensive	TIN	GRP
Without what ghodam killed ??? Shiv Sena had a number of heavy-handed. Why take him in? said 🤣🤣🤣	Offensive	TIN	IND
Kangana heavy-handed talking so much on a woman journalist in a Marathi actress is not ashamed of the dirty h ...	Offensive	TIN	IND
One permanent canine teeth bhunkanare tarabujya and Champa quiet off the mouth like mulya? That Kangana Maharashtra ...	Offensive	TIN	IND
Lund catya bullyakaryakutrya you ...	Offensive	TIN	IND
Satara, Sangli, Kolhapur say that the Prime Minister also dakhavacyayala your map yadapata	Offensive	TIN	IND
And the Bal army is not a little disturbed was the terror of the army remained quiet .. not specific on what their capabilities. Gentle devotees	Offensive	TIN	GRP
Portastara saying unfit to breed to a specific program of the party in Maharashtra ...	Offensive	TIN	GRP
What was your father's Lai SIPRA narasalya Mumbai Mumbai Maharashtra lagaliya the gutter, road mark meal ...	Offensive	TIN	IND
We unfit father, sir, sweat forget itake no pun debits us your wrong policies ...	Offensive	TIN	IND
.. die of helplessness is bhinali blood. As arasyasamora can not stand in front of your phadakata are taking their dalabhadri faces.	Offensive	TIN	GRP
Tuji's competence bhadavya Gu eat and live our daily madaracota since bhadavya shy Account varu ...	Offensive	TIN	IND
While the government accountant araksanace smears are nothing like the beetle came from the mouth accusers face mouth kind of politics ... ..	Offensive	UNT	NULL
I looked like Michael 's top 2106 figure .. but before that dream brother Bachchan boss of what?	Offensive	TIN	IND
Bring in your mouth and do not have gotya Yogi's 🤣🤣🤣	Offensive	TIN	IND
Hey, if you yedyaho Merchant navy officer, he was cast by the Mumbai Municipal Corporation and nevhitalya murkhanho ...	Offensive	TIN	GRP
Tujai in the ass I shot it quickly Mutai had mutayaco and mutton	Offensive	TIN	IND
I do not have to take stupid .. needy people ... ... ration of Free Farmers account for 2000 ... ..	Offensive	TIN	IND
Why the queen of Jhansi's bevadi to this metaphor does come when their heads to these heavy-handed woman nakhaci	Offensive	TIN	IND
What, sir, you were 5 years Goats khedata ....... just 5 years to all your hans hans	Offensive	TIN	IND
S like Michael and Aaron have only hijadisena of the Shiv Sena takes off to take the fatwa social media channels ...	Offensive	TIN	GRP
Dalabhadri upon thy people bhadkavnyacha kaam doing a ...	Offensive	TIN	IND
This kind of navy officer Ray? He was heavy-handed people in the Merchant Navy.	Offensive	TIN	IND
Jhata do not know him	Offensive	TIN	IND
When a packet is in their mouth kombalele	Offensive	TIN	GRP
Abe identity of the sending cutiye people are abusing you, there is much resentment Marathi people coming ..... slow brain ...	Offensive	TIN	IND
Manda ... citratai Tweet called state party .. 3 ...	Offensive	UNT	NULL
Accountant was on TV's mother says Mr. Speaker, how much more should the dispute off nalavaraca insult someone.	Offensive	TIN	IND
